Date,Open,High,Low,Close,Adj Close,Volume
2006-10-17,44.62,44.64,43.60,44.37,23.55,1741338
2006-10-18,45.04,45.04,43.43,43.63,23.15,1484487
2006-10-19,43.63,43.93,42.49,42.64,22.63,1481774
2006-10-20,42.96,44.20,42.59,44.07,23.39,1440342
2006-10-23,44.69,44.69,43.58,43.93,23.31,1152306
2006-10-24,43.95,44.64,43.75,44.20,23.45,880349
2006-10-25,44.40,44.67,43.48,44.62,23.68,1214960
2006-10-26,45.01,49.21,44.62,47.68,25.30,4729712
2006-10-27,48.40,49.63,47.85,49.56,26.30,3889418
2006-10-30,50.05,52.10,49.68,50.20,26.64,1939059
2006-10-31,51.46,51.80,48.84,49.38,26.21,1322082
2006-11-01,49.88,50.44,48.77,48.77,25.88,854186
2006-11-02,48.77,50.37,48.15,48.17,25.56,821745
2006-11-03,48.49,49.31,48.40,49.01,26.01,787037
2006-11-06,49.14,50.05,48.81,49.36,26.19,842360
2006-11-07,49.38,49.75,48.79,49.28,26.15,706928
2006-11-08,48.17,48.44,46.42,47.36,25.13,1550948
2006-11-09,47.60,49.88,47.16,49.88,26.47,992372
2006-11-10,49.38,49.65,48.17,49.36,26.19,765653
2006-11-13,49.28,49.28,48.69,49.09,26.05,332870
2006-11-14,49.19,49.53,48.64,49.23,26.13,520020
2006-11-15,49.23,49.68,49.01,49.43,26.23,591746
2006-11-16,49.28,49.58,49.01,49.58,26.31,374018
2006-11-17,49.38,49.38,48.49,48.81,25.90,485960
2006-11-20,49.01,49.11,47.73,48.15,25.55,427032
2006-11-21,47.90,48.02,46.91,47.56,25.24,1593351
2006-11-22,46.77,48.10,46.42,47.73,25.33,1469462
2006-11-24,46.96,47.41,46.86,47.33,25.12,141143
2006-11-27,46.91,47.16,45.56,46.67,24.76,826565
2006-11-28,45.93,46.77,44.64,46.67,24.76,782298
2006-11-29,47.28,47.38,46.67,47.01,24.95,458663
2006-11-30,46.91,47.09,46.32,46.84,24.86,246686
2006-12-01,46.74,46.79,46.20,46.47,24.66,371588
2006-12-04,45.98,46.42,45.85,46.32,24.58,306950
2006-12-05,46.40,47.09,46.12,46.86,24.87,370008
2006-12-06,46.86,47.19,46.25,47.16,25.03,580284
2006-12-07,47.41,47.53,46.67,47.43,25.17,364865
2006-12-08,47.06,48.02,47.04,47.78,25.35,545292
2006-12-11,47.78,48.15,46.69,46.81,24.84,499608
2006-12-12,46.91,48.94,46.30,48.69,25.84,946283
2006-12-13,47.16,47.16,44.74,45.04,23.90,2291693
2006-12-14,44.49,45.28,43.58,44.35,23.53,1634742
2006-12-15,45.01,46.54,44.44,46.17,24.50,3829397
2006-12-18,45.95,46.05,44.77,44.89,23.82,769095
2006-12-19,44.52,44.79,43.85,44.20,23.45,914936
2006-12-20,44.20,44.86,43.95,44.32,23.52,428207
2006-12-21,44.20,44.52,43.83,44.07,23.39,466439
2006-12-22,44.20,44.30,43.90,44.07,23.39,537881
2006-12-26,44.07,44.30,43.58,43.63,23.15,322340
