Date,Open,High,Low,Close,Adj Close,Volume
2007-08-08,19.00,21.40,18.70,20.90,18.12,5246400
2007-08-09,20.00,21.40,19.90,20.50,17.77,847300
2007-08-10,20.15,20.43,18.86,20.02,17.36,1210900
2007-08-13,20.25,21.78,20.00,21.00,18.21,116900
2007-08-14,21.72,21.72,20.30,20.50,17.77,130500
2007-08-15,20.50,20.94,20.36,20.40,17.68,77300
2007-08-16,20.50,20.50,19.55,19.55,16.95,363000
2007-08-17,23.00,23.00,20.25,20.59,17.85,381900
2007-08-20,20.00,21.45,20.00,20.60,17.86,84300
2007-08-21,21.19,23.00,20.55,21.00,18.21,82000
2007-08-22,21.92,21.92,21.00,21.13,18.32,135300
2007-08-23,21.74,21.74,21.06,21.40,18.55,18100
2007-08-24,21.03,21.30,20.55,21.06,18.26,63400
2007-08-27,21.44,21.75,20.66,21.00,18.21,209200
2007-08-28,20.51,21.25,20.51,20.90,18.12,233500
2007-08-29,21.25,21.25,20.76,21.04,18.24,211000
2007-08-30,21.19,21.26,20.76,21.11,18.30,41100
2007-08-31,21.00,21.39,21.00,21.00,18.21,37500
2007-09-04,21.06,21.29,20.99,21.06,18.26,80200
2007-09-05,21.59,21.59,21.10,21.20,18.38,61600
2007-09-06,21.45,22.25,21.33,21.50,18.64,315200
2007-09-07,21.00,23.00,21.00,22.35,19.38,257100
2007-09-10,23.00,24.49,22.89,24.38,21.14,289600
2007-09-11,24.62,25.90,24.50,24.80,21.50,76700
2007-09-12,25.70,25.70,24.40,24.59,21.32,32600
2007-09-13,24.44,25.11,24.44,24.79,21.49,117500
2007-09-14,24.93,24.93,24.60,24.85,21.54,345200
2007-09-17,25.03,25.03,22.55,23.43,20.31,181200
2007-09-18,23.44,24.71,23.25,23.41,20.29,143200
2007-09-19,24.44,24.75,23.87,24.51,21.25,90300
2007-09-20,24.83,26.50,23.51,25.27,21.91,351700
2007-09-21,25.95,26.43,24.58,26.00,22.54,178300
2007-09-24,26.00,26.73,25.00,26.64,23.09,92900
2007-09-25,27.08,27.08,26.29,26.60,23.06,150100
2007-09-26,26.86,26.90,26.00,26.35,22.84,120300
2007-09-27,26.10,26.49,25.77,26.03,22.57,207500
2007-09-28,25.84,26.19,24.76,25.66,22.24,1163500
2007-10-01,25.60,27.00,24.77,26.24,22.75,192900
2007-10-02,26.09,26.97,26.09,26.63,23.09,104500
2007-10-03,26.50,28.63,26.50,28.17,24.42,300000
2007-10-04,28.47,29.85,28.19,28.98,25.12,108400
2007-10-05,29.36,29.55,28.69,28.98,25.12,109100
