Date,Open,High,Low,Close,Adj Close,Volume
2021-10-27,27.55,30.28,27.51,29.00,29.00,10530000
2021-10-28,28.52,30.12,28.11,29.50,29.50,1992800
2021-10-29,29.20,29.98,28.10,29.66,29.66,1250300
2021-11-01,29.71,31.08,29.01,29.65,29.65,1602100
2021-11-02,29.48,31.94,29.39,31.16,31.16,4172200
2021-11-03,31.20,31.84,30.58,31.32,31.32,578200
2021-11-04,31.32,32.15,31.05,31.47,31.47,688200
2021-11-05,31.52,31.69,30.50,31.27,31.27,451000
2021-11-08,31.53,32.94,31.28,32.56,32.56,754500
2021-11-09,32.56,33.54,32.02,32.89,32.89,562500
2021-11-10,33.00,33.40,32.00,32.89,32.89,723300
2021-11-11,32.89,33.00,30.68,32.52,32.52,647700
2021-11-12,32.25,33.22,31.76,32.34,32.34,246200
2021-11-15,32.55,34.33,32.42,33.20,33.20,579800
2021-11-16,33.27,34.28,32.07,32.35,32.35,709900
2021-11-17,32.05,33.83,32.00,32.98,32.98,548000
2021-11-18,32.97,33.65,32.21,33.50,33.50,268200
2021-11-19,33.65,34.54,33.11,33.23,33.23,619300
2021-11-22,33.69,34.40,33.13,33.17,33.17,1310500
2021-11-23,32.92,33.37,31.66,31.95,31.95,950800
2021-11-24,31.40,33.38,31.40,32.45,32.45,331700
2021-11-26,32.39,33.44,32.33,32.99,32.99,418800
2021-11-29,33.11,35.24,32.79,34.40,34.40,660100
2021-11-30,34.00,35.28,31.67,32.19,32.19,483300
2021-12-01,33.23,34.83,32.67,33.96,33.96,545900
2021-12-02,33.73,34.71,32.94,33.97,33.97,732400
2021-12-03,33.91,34.19,31.27,32.52,32.52,689100
2021-12-06,32.55,33.92,31.57,33.76,33.76,979700
2021-12-07,34.27,36.18,34.02,35.02,35.02,387600
2021-12-08,34.62,37.18,34.46,36.39,36.39,556800
2021-12-09,36.72,37.50,33.45,35.00,35.00,464400
2021-12-10,35.12,39.00,35.01,38.52,38.52,775300
2021-12-13,38.18,38.71,35.30,36.35,36.35,681400
2021-12-14,36.39,37.27,35.42,36.46,36.46,317900
2021-12-15,36.22,39.30,35.95,38.83,38.83,842700
2021-12-16,39.00,40.13,35.57,36.02,36.02,701900
2021-12-17,35.51,38.20,34.70,36.43,36.43,4209900
2021-12-20,35.73,36.85,35.01,36.64,36.64,427500
2021-12-21,36.70,37.12,33.64,35.48,35.48,1027200
2021-12-22,35.19,36.00,34.40,34.74,34.74,377800
2021-12-23,34.68,35.92,33.70,35.21,35.21,414900
2021-12-27,35.50,36.55,34.71,35.19,35.19,378400
2021-12-28,35.18,35.62,34.76,35.12,35.12,393500
2021-12-29,35.10,36.38,34.51,36.35,36.35,484700
2021-12-30,36.00,37.49,36.00,37.22,37.22,452700
2021-12-31,37.19,37.90,36.86,36.98,36.98,319200
2022-01-03,37.05,37.76,35.22,35.95,35.95,364300
2022-01-04,35.70,35.77,32.33,34.31,34.31,820400
2022-01-05,34.32,34.42,30.88,31.23,31.23,539800
2022-01-06,30.84,31.80,30.08,30.52,30.52,404800
2022-01-07,30.50,31.00,29.54,30.12,30.12,469800
2022-01-10,29.55,30.03,28.49,29.95,29.95,327500
2022-01-11,29.77,32.36,29.64,31.90,31.90,621400
2022-01-12,32.14,32.68,31.38,31.75,31.75,340200
2022-01-13,31.66,32.01,29.76,29.87,29.87,415300
2022-01-14,29.65,30.43,28.60,29.49,29.49,320300
2022-01-18,28.83,29.13,27.92,28.09,28.09,471600
2022-01-19,28.20,29.04,26.95,27.36,27.36,629600
2022-01-20,27.47,28.55,26.04,26.45,26.45,504300
2022-01-21,26.18,26.51,25.13,25.68,25.68,387800
2022-01-24,25.00,27.55,24.30,27.38,27.38,685700
2022-01-25,26.79,27.10,25.31,26.45,26.45,518943
