Date,Open,High,Low,Close,Adj Close,Volume
1986-04-29,0.00,11.38,11.25,11.25,11.25,870000
1986-04-30,0.00,11.25,11.00,11.00,11.00,299100
1986-05-01,0.00,10.62,10.25,10.25,10.25,66500
1986-05-02,0.00,10.62,10.25,10.25,10.25,52400
1986-05-05,0.00,10.88,10.62,10.62,10.62,65400
1986-05-06,0.00,10.88,10.62,10.62,10.62,14300
1986-05-07,0.00,10.88,10.62,10.62,10.62,28600
1986-05-08,0.00,11.00,10.75,10.75,10.75,27100
1986-05-09,0.00,11.12,10.75,10.75,10.75,35500
1986-05-12,0.00,11.25,11.00,11.00,11.00,28100
1986-05-13,0.00,11.12,10.75,10.75,10.75,28300
1986-05-14,0.00,11.12,10.75,10.75,10.75,3100
1986-05-15,0.00,11.12,10.75,10.75,10.75,11200
1986-05-16,0.00,11.12,10.75,10.75,10.75,9500
1986-05-19,0.00,11.00,10.75,10.75,10.75,7200
1986-05-20,0.00,11.12,10.88,10.88,10.88,170100
1986-05-21,0.00,11.00,10.75,10.75,10.75,33900
1986-05-22,0.00,11.00,10.75,10.75,10.75,2100
1986-05-23,0.00,11.00,10.75,10.75,10.75,6200
1986-05-27,0.00,11.00,10.62,10.62,10.62,6200
1986-05-28,0.00,10.38,10.00,10.00,10.00,15900
1986-05-29,0.00,10.38,10.12,10.12,10.12,7500
1986-05-30,0.00,10.50,10.25,10.25,10.25,8600
1986-06-02,0.00,10.50,10.25,10.25,10.25,11200
1986-06-03,0.00,10.38,10.12,10.25,10.25,22900
1986-06-04,0.00,11.12,10.38,11.12,11.12,110600
1986-06-05,0.00,11.25,10.75,11.25,11.25,171200
1986-06-06,0.00,11.25,10.88,11.25,11.25,16600
1986-06-09,0.00,11.12,10.88,10.88,10.88,9200
1986-06-10,0.00,11.25,10.88,11.12,11.12,19600
1986-06-11,0.00,11.25,10.50,10.75,10.75,46500
1986-06-12,0.00,10.88,10.38,10.88,10.88,9900
1986-06-13,0.00,10.88,10.38,10.88,10.88,6800
1986-06-16,0.00,10.88,10.50,10.88,10.88,3000
1986-06-17,0.00,10.88,10.50,10.50,10.50,1800
1986-06-18,0.00,10.88,10.50,10.50,10.50,4900
1986-06-19,0.00,10.88,10.50,10.62,10.62,25700
1986-06-20,0.00,10.88,10.62,10.88,10.88,23100
1986-06-23,0.00,11.00,10.62,11.00,11.00,6400
1986-06-24,0.00,11.00,10.50,11.00,11.00,18500
1986-06-25,0.00,11.00,10.50,10.88,10.88,70100
1986-06-26,0.00,10.88,10.50,10.50,10.50,23500
1986-06-27,0.00,10.75,10.50,10.50,10.50,7800
1986-06-30,0.00,10.88,10.50,10.88,10.88,31600
1986-07-01,0.00,10.88,10.50,10.50,10.50,5400
1986-07-02,0.00,10.88,10.50,10.50,10.50,6800
1986-07-03,0.00,10.88,10.50,10.88,10.88,4200
1986-07-07,0.00,10.88,10.50,10.50,10.50,3200
1986-07-08,0.00,10.50,10.00,10.00,10.00,7700
1986-07-09,0.00,10.50,10.00,10.00,10.00,2600
1986-07-10,0.00,10.50,9.75,10.00,10.00,11200
1986-07-11,0.00,10.50,9.75,10.25,10.25,6400
1986-07-14,0.00,10.25,9.75,10.25,10.25,3600
1986-07-15,0.00,10.25,9.75,9.75,9.75,3000
1986-07-16,0.00,10.00,9.50,10.00,10.00,11500
1986-07-17,0.00,10.00,9.50,9.62,9.62,10300
1986-07-18,0.00,10.00,9.50,10.00,10.00,6400
1986-07-21,0.00,10.00,9.50,9.50,9.50,2400
1986-07-22,0.00,10.00,9.50,9.50,9.50,2700
