Date,Open,High,Low,Close,Adj Close,Volume
2013-11-06,18.50,18.90,16.19,16.31,16.31,11103600
2013-11-07,16.64,16.86,16.45,16.56,16.56,586400
2013-11-08,16.59,18.09,16.58,17.30,17.30,526700
2013-11-11,17.68,18.77,17.40,17.94,17.94,437300
2013-11-12,18.77,18.77,17.40,17.55,17.55,155200
2013-11-13,17.48,17.50,16.75,17.27,17.27,365200
2013-11-14,17.50,17.50,17.01,17.34,17.34,64400
2013-11-15,17.56,17.80,17.26,17.66,17.66,126900
2013-11-18,18.00,18.88,17.90,18.74,18.74,226300
2013-11-19,18.21,18.89,17.90,18.11,18.11,114900
2013-11-20,18.00,18.50,17.50,18.41,18.41,84400
2013-11-21,18.40,18.41,18.00,18.30,18.30,99100
2013-11-22,18.30,18.30,18.09,18.17,18.17,19700
2013-11-25,18.40,18.40,18.20,18.30,18.30,34600
2013-11-26,18.00,18.32,18.00,18.21,18.21,70000
2013-11-27,18.26,20.00,18.26,19.53,19.53,442300
2013-11-29,19.34,20.53,19.34,20.50,20.50,111100
2013-12-02,20.90,22.99,20.78,22.94,22.94,336000
2013-12-03,23.50,23.50,21.73,22.07,22.07,241000
2013-12-04,21.75,22.45,20.71,21.03,21.03,163600
2013-12-05,22.41,22.79,20.50,21.93,21.93,169100
2013-12-06,22.99,24.18,22.00,23.89,23.89,238700
2013-12-09,23.50,25.49,23.00,24.64,24.64,518900
2013-12-10,24.75,25.54,24.33,25.19,25.19,224700
2013-12-11,25.70,26.49,24.69,24.99,24.99,245900
2013-12-12,25.00,25.40,23.91,23.96,23.96,282900
2013-12-13,23.94,24.64,22.00,24.23,24.23,280000
2013-12-16,25.49,26.00,24.94,25.91,25.91,426800
2013-12-17,26.00,28.38,25.51,27.62,27.62,507200
2013-12-18,27.84,28.37,26.52,27.92,27.92,252000
2013-12-19,27.60,28.32,26.60,26.87,26.87,188600
2013-12-20,26.79,28.00,24.25,27.96,27.96,1600900
2013-12-23,27.85,28.80,27.25,27.74,27.74,217300
2013-12-24,27.85,28.49,26.50,27.82,27.82,96200
2013-12-26,28.34,28.89,27.50,28.49,28.49,159700
2013-12-27,28.36,28.85,27.51,28.16,28.16,102300
2013-12-30,28.16,28.17,27.15,27.77,27.77,140200
2013-12-31,27.69,27.99,26.55,26.85,26.85,138700
2014-01-02,26.58,26.58,25.03,25.78,25.78,156400
