Title,Year,Released,Genre,Runtime,Director,Writer,Actors,Rated,IMDB Rating,Metascore,IMDB Votes,Awards,Box Office,Country,Language,Description,Poster URL
Deep Blue Sea,1999.0,28 Jul 1999,"Action, Adventure, Sci-Fi",105 min,Renny Harlin,"Duncan Kennedy, Donna Powers, Wayne Powers","Thomas Jane, Saffron Burrows, Samuel L. Jackson",R,5.9,54.0,"146,210",2 wins & 4 nominations total,"$73,648,142","United States, Mexico","English, Spanish","A businessman sinks $200 million into a special project to help fight Alzheimer's disease. As part of this project, medical biologist Susan McAlester rather naughtily figures out a way to genetically enlarge shark brains, so that disease-battling enzymes can be harvested. However, the shark subjects become super smart and decide they don't much like being cooped up in pens and being stabbed with hypodermics, so they figure a way to break out and make for the open sea...",https://m.media-amazon.com/images/M/MV5BMTM5OTUyYWYtMGE2OS00ODEzLTk0ZjctZmQ5NzFlNWQ3OTAxXkEyXkFqcGc@._V1_SX300.jpg
The Virgin Suicides,1999.0,19 May 2000,"Drama, Romance",97 min,Sofia Coppola,"Jeffrey Eugenides, Sofia Coppola","Kirsten Dunst, Josh Hartnett, James Woods",R,7.2,77.0,"176,100",3 wins & 14 nominations total,"$4,906,229",United States,English,"A man about forty years of age tells the story from when he was a teenager in upscale suburban Detroit of his and three of his friends' fascination with the mysterious and doomed Lisbon sisters. In 1974, the sisters were seventeen year old Therese, sixteen year old Mary, fifteen year old Bonnie, fourteen year old Lux, and thirteen year old Cecilia. Their fascination still remains as they try to piece together the entire story. The sisters were mysteries if only because of having a strict and overprotective upbringing by their father, who taught math at the girls' private co-ed school, and overly devout Catholic mother, who largely dictated the household rules. The story focuses primarily on two incidents and the resulting situations on the girls' lives. The first was an action by Cecilia to deal with her emotions over her life. And the second was the relationship between Lux - the sister who pushed the boundaries of the household rules most overtly in doing what most teenagers want to do - and Trip Fontaine, he who could have any girl he wanted but wanting solely Lux.",https://m.media-amazon.com/images/M/MV5BMmNhYTE5MjQtMzI2Ny00MDRhLWE4ZjAtYTg0YjNhNjZmMTVlXkEyXkFqcGc@._V1_SX300.jpg
The Insider,1999.0,05 Nov 1999,"Biography, Drama, History",157 min,Michael Mann,"Marie Brenner, Eric Roth, Michael Mann","Russell Crowe, Al Pacino, Christopher Plummer",R,7.8,85.0,"184,092",Nominated for 7 Oscars. 23 wins & 58 nominations total,"$29,089,912",United States,"English, Japanese, Arabic, Persian","Balls-out 60 Minutes (1968) Producer Lowell Bergman (Al Pacino) sniffs a story when a former research biologist for Brown &amp; Williamson, Jeff Wigand (Russell Crowe), won't talk to him. When the company leans hard on Wigand to honor a confidentiality agreement, he gets his back up. Trusting Bergman, and despite a crumbling marriage, he goes on camera for a Mike Wallace (Christopher Plummer) interview and risks arrest for contempt of court. Westinghouse is negotiating to buy CBS, so CBS attorneys advise CBS News to shelve the interview and avoid a lawsuit. 60 Minutes (1968) and CBS News bosses cave, Wigand is hung out to dry, Bergman is compromised, and the CEOs of Big Tobacco may get away with perjury. Will the truth come out?",https://m.media-amazon.com/images/M/MV5BZGY3ZjEyODAtNjAwMC00ZTEwLTg3NDctYzMzYTZkMjBmZDQwXkEyXkFqcGc@._V1_SX300.jpg
Go,1999.0,09 Apr 1999,"Comedy, Crime",102 min,Doug Liman,John August,"Sarah Polley, Jay Mohr, Scott Wolf",R,7.2,72.0,"76,641",5 wins & 7 nominations,"$16,943,454",United States,English,"Told from three perspectives, a story of a bunch of young Californians trying to get some cash, do and deal some drugs, score money and sex in Las Vegas, and generally experience the rush of life.",https://m.media-amazon.com/images/M/MV5BMjkyZDU1YjctYmZkNC00Nzg0LWE3ZDEtYjFlMzYzYjMzNDQ3XkEyXkFqcGc@._V1_SX300.jpg
Stuart Little,1999.0,17 Dec 1999,"Adventure, Comedy, Family",84 min,Rob Minkoff,"E.B. White, M. Night Shyamalan, Greg Brooker","Michael J. Fox, Geena Davis, Hugh Laurie",PG,6.0,61.0,"154,485",Nominated for 1 Oscar. 7 wins & 14 nominations total,"$140,035,367","Germany, United States","English, Dutch","In New York City, you would come across a small house, home to a family known as the Littles. You would happen to think of them as the nicest family you'd ever meet. One day, Fredrick and Eleanor, both parents and Littles, ho to and orphanage to find a brother for their son, George. While at it, they meet Stuart, a small, but charming mouse, who apparently, is human-civilized. They adopt him, and everyone, even George, loves him. But there is one problem with Stuart's life, Snowbell, the Little family cat, who wants him. But when trouble starts up almost immediately, Stuart must make it back to his home-before snowbell's friends find out about him",https://m.media-amazon.com/images/M/MV5BMTE3MzQxOWQtMmMxNS00YWVkLThiNDMtOTFiNzVjNmE3MGIxXkEyXkFqcGc@._V1_SX300.jpg
The World Is Not Enough,1999.0,19 Nov 1999,"Action, Adventure, Thriller",128 min,Michael Apted,"Neal Purvis, Robert Wade, Bruce Feirstein","Pierce Brosnan, Sophie Marceau, Robert Carlyle",PG-13,6.4,57.0,"213,719",7 wins & 12 nominations total,"$126,943,684","United Kingdom, United States, Spain","English, Russian, Spanish","James Bond (Pierce Brosnan) is back. An oil tycoon is murdered in MI6, and Bond is sent to protect his daughter. Renard (Robert Carlyle), who has a bullet lodged in his brain from a previous Agent, is secretly planning the destruction of a pipeline. Bond gains a hand from research scientist Dr. Christmas Jones (Denise Richards), who witnesses the action which happens when Bond meets up with Renard, but Bond becomes suspicious about Elektra King (Sophie Marceau), especially when Bond's boss, M (Dame Judi Dench) goes missing. Bond must work quickly to prevent Renard from destroying Europe.",https://m.media-amazon.com/images/M/MV5BMDlmNTA0YmMtODJmMi00NTZhLTk4MzUtY2FiYjNhMmY4OTI1XkEyXkFqcGc@._V1_SX300.jpg
The Iron Giant,1999.0,06 Aug 1999,"Animation, Action, Adventure",86 min,Brad Bird,"Tim McCanlies, Brad Bird, Ted Hughes","Eli Marienthal, Harry Connick Jr., Jennifer Aniston",PG,8.1,85.0,"241,534",Won 1 BAFTA Award20 wins & 18 nominations total,"$23,315,035","United States, Czech Republic, United Kingdom",English,"This is the story of a nine-year-old boy named Hogarth Hughes who makes friends with an innocent alien giant robot that came from outer space. Meanwhile, a paranoid U.S. Government agent named Kent Mansley arrives in town, determined to destroy the giant at all costs. It's up to Hogarth to protect him by keeping him at Dean McCoppin's place in the junkyard.",https://m.media-amazon.com/images/M/MV5BODM4ZjZjMGEtYmFiMy00MThjLWIzZjUtMDU0ODg1NTI2MzIwXkEyXkFqcGc@._V1_SX300.jpg
She's All That,1999.0,29 Jan 1999,"Comedy, Romance",95 min,Robert Iscove,R. Lee Fleming Jr.,"Freddie Prinze Jr., Rachael Leigh Cook, Matthew Lillard",PG-13,5.9,51.0,"106,106",8 wins & 6 nominations total,"$63,366,989",United States,English,"She's All That is your typical high school prom king and queen story and the run in defending the star status in the upcoming election. High school hottie, Zack Siler is dumped by his prom-queen girlfriend, the equally attractive and extremely popular, Taylor Vaughan who fell for a second-hand world reject TV soap star who she met over the spring break. Having been publicly dumped, Zack defends his discomposure by stating that Taylor is all make-up and wonder-bra and he can make any ordinary girl a prom queen with a similar package. His high-school buddy, Dean Sampson, engages him in a bet following this statement and picks the geeky looking Laney Boggs out of the crowd as the girl Zack must transform into the new prom queen. Zack agrees since he has no option, but as time passes and Laney begins to transform, Zack begins to find her attractive. While all that falls beautifully in place, it's not your typical fairy-tale. Throw in Dean Sampson to complicate the situation, as when he first made the bet he never thought that Zack could rise to the challenge but looking at how Laney has transformed, it looks like Zack could be on a winning streak.",https://m.media-amazon.com/images/M/MV5BOGUyZTFiOTEtN2Y1Ny00NDFhLWEyMTMtZmE0MzNjODE3MzAzXkEyXkFqcGc@._V1_SX300.jpg
The Ninth Gate,1999.0,10 Mar 2000,"Mystery, Thriller",133 min,Roman Polanski,"Arturo Pérez-Reverte, John Brownjohn, Enrique Urbizu","Johnny Depp, Frank Langella, Lena Olin",R,6.7,44.0,"201,673",2 wins & 5 nominations,"$18,661,336","France, Spain, United States","English, French, Latin, Portuguese, Spanish","In New York, the money-driven dealer Dean Corso is a rare-books expert and partner of Bernie, who owns a bookstore. He is contacted by the renowned collector of books about the devil Boris Balkan, who has just acquired the rare The Nine Gates of the Kingdom of Shadows from the collector Andrew Telfer, to verify whether his book is authentic or a forgery. Balkan explains that the book was written by the writer Aristide Torchia, in 1666, with Lucifer and he was burned at the stake with his entire work. There are only three exemplars of The Nine Gates and in accordance with the legend, its nine engravings form a riddle to conjure the devil. The skeptical Corso accepts the assignment and has to fly to Sintra, Portugal, and Paris, France, to contact the owners Victor Fargas and Baroness Kessler and find the genuine exemplar for Balkan. Meanwhile, he asks Bernie to hide the rare book. Before traveling to Europe, the widow Liana Telfer wants to retrieve the book and has sex with Corso, but he does not accept her offer. When Corso returns to Bernie's bookstore, he finds his friend murdered in the same position of an engraving. Corso travels to Toledo, Spain, to meet the Ceniza twin brothers and learn more about The Nine Gates. During his journey in Europe, Corso is pursued by Liana and her bodyguard, who belong to the sect The Order of the Silver Serpents, and is protected by a mysterious Girl with supernatural powers. Meanwhile, the owners of the two other exemplars of The Nine Gates are murdered. Corso becomes obsessed with the book and discloses the truth about it.",https://m.media-amazon.com/images/M/MV5BOTQ2ODM2NjktMzJjMC00MWJiLWI2MjMtMzhiOTFmMzc1ZDUyXkEyXkFqcGc@._V1_SX300.jpg
Toy Story 2,1999.0,24 Nov 1999,"Animation, Adventure, Comedy",92 min,"John Lasseter, Ash Brannon, Lee Unkrich","John Lasseter, Pete Docter, Ash Brannon","Tom Hanks, Tim Allen, Joan Cusack",G,7.9,88.0,"638,477",Nominated for 1 Oscar. 21 wins & 27 nominations total,"$245,852,179",United States,English,"While Andy is away at summer camp Woody has been toynapped by Al McWiggin, a greedy collector and proprietor of ""Al's Toy Barn""! In this all-out rescue mission, Buzz and his friends Mr. Potato Head, Slinky Dog, Rex and Hamm springs into action to rescue Woody from winding up as a museum piece. They must find a way to save him before he gets sold in Japan forever and they'll never see him again!",https://m.media-amazon.com/images/M/MV5BNzVmODlhMDEtY2YxZi00OTVjLTlkNTktN2Q2OTRlM2I4M2FhXkEyXkFqcGc@._V1_SX300.jpg
